Stages,Date,Investors,Company,Industry,Investment Amount
Pre-Seed,10-10-2022,"Play Ventures,Sisu Game Ventures,Joakim Achrén",Tribo,Gaming,1200000
Pre-Seed,10-10-2022,"Vgames,Shima Capital,Solana Ventures,Paribu Ventures,Abdou",Elyzio,Gaming,2000000
Pre-Seed,10-10-2022,"Joakim Achrén,Equilibrium,Play Ventures",Flowstate Games,Gaming,2000000
Series B,11-10-2022,"quadrille Captial,Headline,Northzone,Fabric Ventures,Bpifrance,Eurazeo,Singular",Homa,Gaming,100000000
Unknown,11-10-2022,Griffin Gaming Partners,Muus Collective,"Gaming, Studio",5000000
Strategic,17-10-2022,"Anthos Capital,Immutable ,GSR,Blockchain Coinvestors,Leonis Capital,Antalpha,Perion,Formless Capital",Delysium,Gaming,10000000
Series A,18-10-2022,"Framework
  Ventures,Double
  Peak,Distributed Global,Blockchain Capital,Acrew Capital",Stardust,"Gaming, Metaverse",30000000
Seed,19-10-2022,"Crypto.com Capital,Solana Ventures,Shima Capital,KuCoin Labs,GSR",Arcade2Earn,Gaming,3200000
Pre-Seed,07-11-2022,"NFX,Jibe Ventures,Flori Ventures,Secret Chord Ventures,Vgames",Xternity,Gaming,4500000
Pre-Seed,15-11-2022,"Big Brain Holdings,Warburg Serres,Huobi Capital,Shima Capital,Hyperithm,Lyrik Ventures",PlayEmber,Gaming,2300000
Seed,17-11-2022,"Upfront Ventures,Multicoin Capital,Polygon,Jonathan Lai,Wolfgang Hammer",Heroic Story,Gaming,6000000
Unknown,22-11-2022,"MZ Web3 Fund,8DAO,B Dash Ventures,Doublejump.tokyo,Fenbushi Capital,Flick Shot,Holdem Capital,Kusabi,OKCoinJapan,OKX,Yield Guild Games",Thirdverse,"AR/VR, Gaming",15000000
Unknown,22-11-2022,Vertex Ventures,Carv,"Identity, Gaming",4000000
Seed,29-11-2022,"Drive by DraftKings,BITKRAFT Ventures",Burn Ghost,Gaming,3100000
Series A,29-11-2022,"Andreessen Horowitz,Ancient8,Animoca Brands,gumi Cryptos,Harrison Metal Capital,Makers Fund,Merit Circle,Transcend Fund",Roboto Games,Gaming,15000000
Unknown,30-11-2022,"Hashed,BEENEXT,Prime Venture Partners",Glip,"Wallet, Gaming",2500000
Seed,25-11-2022,"Shima Capital,Forte,SnackClub,Overwolf,Woodstock Fund,FJ Labs,Bixin Ventures",Midnight,"Gaming, Studio",7500000
Seed,30-11-2022,Matrix Partners,Wildxyz,"Art, Marketplace",7000000
Pre-Seed,07-12-2022,"Founders Fund,Konvoy Ventures,Abstract Ventures,Florida Funders,Palm Tree Crew",The Mirror,"Gaming, Tooling",2300000
Private Token Sale,09-12-2022,"KuCoin Labs,Tezos Foundation,IDG Capital,Hive Empire Capital,Yolo Investments,Red Building Capital,Digital Asset Capital Management,MetaEngine,Vendetta
  Capital,369 Capital,Fantom Foundation,Gandel Invest",Balthazar,"Gaming, Infrastructure",2000000
Extended Seed,13-12-2022,"XAnge,Bpifrance,Blockchain Founders Fund,Wagram Capital",Dogami,Gaming,7000000
Seed,12-12-2022,"Alphabit Digital Currency Fund,Xeta Capital,Launchpool,Westridge Markets,NetZero Capital,Xsquared Ventures,GBIC (Global Blockchain Innovative Capital),Alpha
  Sigma Capital,FBG Capital",MetaVersusWorld,"Metaverse, Gaming",2000000
Unknown,13-12-2022,LDA Capital,Digital Entertainment Asset,Gaming,10000000
Unknown,15-12-2022,Morningstar Ventures,37xDubai,Art,5000000
Unknown,23-12-2022,"Placeholder,Hivemind Capital Partners,Shima Capital,Peer VC,CoinFund,Side Door Ventures,Blockwall,Tokenbay Capital",Rainmaker Games,"Gaming, Marketplace",4700000
Unknown,17-01-2023,"Polygon,Animoca Brands,Magic Eden,Planetarium,Big Brain Holdings,Global Coin Research,CRIT Ventures,JoyCity,PearlAbyss,XL Games,WEMIX",Intella X,Gaming,12000000
Unknown,30-01-2023,"Square Enix,Shinsegae,GREE,MARBLEX,enish,ADWAYS Ventures,Coincheck Labs,Gate.io,Vector,Infinity Ventures Crypto,CAICA Digitial,Days,Emoote,Arriba Studio,Colorful Marketing,Kingdomverse,FGG",YGG Japan,"Gaming, DAO",2950000
Seed,30-01-2023,"eGirl Capital,Synergis,gmjp,Merit Circle,Kevin Lin,Santiago R. Santos,Wing Vasiksiri,Serkan Toto",Oh Baby Games,"Gaming, Collectibles",6000000
Public Token Sale,01-02-2023,,Bibliotheca DAO,Gaming,3970473
Unknown,10-02-2023,CMCC Global,Ajuna,Gaming,5000000
Unknown,09-02-2023,"Standard Crypto,Boost VC,Collab+Currency,Earl Grey Capital,Konvoy Ventures",Mino Games,Gaming,15000000
Unknown,10-02-2023,"Play Ventures,Agnitio Capital,Santiago R. Santos",Tower Pop,Gaming,2100000
Extended Series A,15-02-2023,"Amazon Alexa Fund,Craft Ventures,Google,Galaxy Digital,Kering,Scribble Ventures,Kakao Investment,Animoca Brands,Day One Ventures,Sony Japan",Superplastic,Entertainment,20000000
Seed,15-02-2023,"Shima Capital,Zee
  Prime Capital,FOMOCraft  Ventures,Firex Capital,Devmons,Starter Capital",Empires Not Vampires,Gaming,1000000
IPO,15-02-2023,,The NFT Gaming Company,Gaming,
Unknown,21-02-2023,,Chainmonsters,Gaming,1500000
Strategic,16-02-2023,Variant,Botto,"Art, AI",
Private Token Sale,17-02-2023,"DWF Labs,Andreessen Horowitz,Galaxy
  Interactive,Sangha Capital,Sanctor Capital,David Lee",Yield Guild Games,Gaming,13800000
Seed,17-02-2023,"Chapter One,Delphi Digital,Polygon,Stani Kulechov,Anthony Sassano ,Ryan Adams,David Hoffman,Kartik Talwar,Scott Moore ,Tim Beiko,Makoto Inoue,0xmons,Zefram,Sahil Dewan,Rohit Goyal,Ryan Li,ilemi.eth,Bailey,Kento,Atoy,numo.eth,Next Web Capital,Joi Ito,GBV
  Capital,Mask Network,Crypto Maestro,Nick Chong,fomosaurus,Sanchay Mittal,Mikey Milken,Santiago R. Santos,Steve Lee,noun12.eth,Komorebi88,Captain,James Hu,Windra Thio",Phi,"Metaverse, Gaming, Identity",2000000
Unknown,17-02-2023,"GSG | Great South Gate,Widus Partners,Solana Foundation",Million on Mars,"Gaming, Metaverse",3500000
Seed,21-02-2023,"Bain Capital Crypto,TCG Crypto,Formless Capital,Smrti Lab,Robot Ventures",Curio,"Gaming, Studio",2900000
Extended Seed,21-02-2023,"Andreessen Horowitz,NFX,Coinbase Ventures,Play Ventures,Franklin Templeton Investments",Azra Games,"Gaming, Studio",10000000
Series A,23-02-2023,Pantera Capital,Worldwide Webb,"Gaming, Metaverse",10000000
Seed,22-02-2023,"Prosus Ventures,Courtside Ventures,Nexus Venture Partners,Nazara Technologies",Kratos Studio,"Gaming, Studio",20000000
Unknown,28-02-2023,"BITKRAFT Ventures,Hashed,Delphi Digital,Mechanism Capital,Coinbase Ventures,Yield Guild Games,Merit Circle,Avocado Guild,Morningstar Ventures,Kevin Lin,Charlie Songhurst,Dennis Fong,Robin Jung",Avalon Corp.,"Metaverse, Gaming",13000000
Pre-Seed,02-03-2023,"Streamlined Ventures,Marbruck Investments",VitalXP,Gaming,3000000
Seed,08-03-2023,"Courtside Ventures,Greylock Partners,Hack VC,Capricorn Investment Group,Horizons Ventures",Matchday,"Sports, Gaming",21000000
